pose_id,pose_name,pose_family,stl_file,bone_coordinates_csv,mask_file,mask_shape,mask_dtype,mask_nonzero_voxels,stl_size_bytes,mask_size_bytes
37,pose_arm_16.7deg,both_arm_or_forearm_sweep,poses/37.stl,poses/37.csv,numpy_masks_poses/37_mask.npy,63x184x85,float32,104498,4082334,3941408
38,pose_arm_19.4deg,both_arm_or_forearm_sweep,poses/38.stl,poses/38.csv,numpy_masks_poses/38_mask.npy,63x184x85,float32,104486,4082334,3941408
39,pose_arm_22.2deg,both_arm_or_forearm_sweep,poses/39.stl,poses/39.csv,numpy_masks_poses/39_mask.npy,63x184x85,float32,105847,4082334,3941408
40,pose_arm_25.0deg,both_arm_or_forearm_sweep,poses/40.stl,poses/40.csv,numpy_masks_poses/40_mask.npy,63x184x85,float32,105835,4082334,3941408
41,pose_arm_0.0deg,both_arm_or_forearm_sweep,poses/41.stl,poses/41.csv,numpy_masks_poses/41_mask.npy,63x184x85,float32,102333,4082334,3941408
42,pose_arm_2.8deg,both_arm_or_forearm_sweep,poses/42.stl,poses/42.csv,numpy_masks_poses/42_mask.npy,63x184x85,float32,102412,4082334,3941408
43,pose_arm_5.6deg,both_arm_or_forearm_sweep,poses/43.stl,poses/43.csv,numpy_masks_poses/43_mask.npy,63x184x85,float32,102438,4082334,3941408
44,pose_arm_8.3deg,both_arm_or_forearm_sweep,poses/44.stl,poses/44.csv,numpy_masks_poses/44_mask.npy,63x184x85,float32,102418,4082334,3941408
45,pose_arm_11.1deg,both_arm_or_forearm_sweep,poses/45.stl,poses/45.csv,numpy_masks_poses/45_mask.npy,63x184x85,float32,102340,4082334,3941408
46,pose_arm_13.9deg,both_arm_or_forearm_sweep,poses/46.stl,poses/46.csv,numpy_masks_poses/46_mask.npy,63x184x85,float32,104346,4082334,3941408
47,pose_arm_16.7deg,both_arm_or_forearm_sweep,poses/47.stl,poses/47.csv,numpy_masks_poses/47_mask.npy,63x184x85,float32,104329,4082334,3941408
48,pose_arm_19.4deg,both_arm_or_forearm_sweep,poses/48.stl,poses/48.csv,numpy_masks_poses/48_mask.npy,63x184x85,float32,105701,4082334,3941408
49,pose_arm_22.2deg,both_arm_or_forearm_sweep,poses/49.stl,poses/49.csv,numpy_masks_poses/49_mask.npy,63x184x85,float32,105660,4082334,3941408
50,pose_arm_25.0deg,both_arm_or_forearm_sweep,poses/50.stl,poses/50.csv,numpy_masks_poses/50_mask.npy,63x184x85,float32,106784,4082334,3941408
51,pose_right_arm_65.0deg,right_arm_only,poses/51.stl,poses/51.csv,numpy_masks_poses/51_mask.npy,63x184x85,float32,95057,4082334,3941408
52,pose_left_arm_65.0deg,left_arm_only,poses/52.stl,poses/52.csv,numpy_masks_poses/52_mask.npy,63x184x85,float32,90658,4082334,3941408
53,pose_two_arms_65.0deg,two_arms,poses/53.stl,poses/53.csv,numpy_masks_poses/53_mask.npy,63x184x85,float32,103562,4082334,3941408
54,pose_right_arm_67.2deg,right_arm_only,poses/54.stl,poses/54.csv,numpy_masks_poses/54_mask.npy,63x184x85,float32,92061,4082334,3941408
55,pose_left_arm_67.2deg,left_arm_only,poses/55.stl,poses/55.csv,numpy_masks_poses/55_mask.npy,63x184x85,float32,87966,4082334,3941408
56,pose_two_arms_67.2deg,two_arms,poses/56.stl,poses/56.csv,numpy_masks_poses/56_mask.npy,63x184x85,float32,102325,4082334,3941408
57,pose_right_arm_69.4deg,right_arm_only,poses/57.stl,poses/57.csv,numpy_masks_poses/57_mask.npy,63x184x85,float32,90980,4082334,3941408
58,pose_left_arm_69.4deg,left_arm_only,poses/58.stl,poses/58.csv,numpy_masks_poses/58_mask.npy,63x184x85,float32,86676,4082334,3941408
59,pose_two_arms_69.4deg,two_arms,poses/59.stl,poses/59.csv,numpy_masks_poses/59_mask.npy,63x184x85,float32,100602,4082334,3941408
60,pose_right_arm_71.7deg,right_arm_only,poses/60.stl,poses/60.csv,numpy_masks_poses/60_mask.npy,63x184x85,float32,90868,4082334,3941408
